PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
3309002,10,10,1,82,6,1,3,,,3,1,8,2,2,1.0
3309010,10,10,1,65,6,1,2,,2.0,1,1,8,4,1,1.0
3309014,10,10,1,61,6,1,3,,,3,3,8,1,2,1.0
3310008,10,10,2,70,6,1,2,,9.0,9,1,2,1,1,1.0
3401003,11,11,1,25,2,1,2,,2.0,2,1,7,1,2,1.0
3401006,11,11,1,24,2,1,3,,,2,3,7,98,2,1.0
3402001,11,11,2,19,2,2,2,,2.0,2,1,3,98,2,1.0
3403020,11,11,1,34,3,1,9,,,1,3,4,1,2,1.0
3405015,11,11,1,45,4,1,2,,1.0,2,3,4,1,2,1.0
3406019,11,11,2,42,4,1,3,,,1,3,5,1,1,1.01
3409010,17,11,1,60,6,1,2,,4.0,1,1,8,2,2,1.0
3501005,12,12,1,25,2,1,2,,4.0,1,3,7,98,2,1.0
3501019,12,12,1,29,2,1,3,,,3,3,8,4,1,1.0
3505002,12,12,1,42,4,1,2,,2.0,2,1,4,1,2,0.99
3506004,12,12,2,40,4,1,3,,,3,3,5,1,2,1.05
3510007,12,12,2,67,6,1,2,,4.0,1,3,3,1,2,1.04
3510013,12,12,2,60,6,1,2,,2.0,2,3,6,1,2,1.04
3607010,13,13,1,55,5,1,2,,5.0,2,1,2,1,2,1.02
3609004,13,13,1,61,6,1,2,,2.0,2,1,1,98,2,0.96
3609008,13,13,1,65,6,1,2,,3.0,3,1,1,1,2,0.96
3610004,13,13,2,65,6,1,3,,,2,1,6,98,1,1.03
3610010,13,13,2,65,6,1,9,,,1,3,6,1,2,1.03
3702009,14,14,2,29,2,1,9,,,9,3,6,1,2,1.01
3705002,14,14,1,49,4,1,2,,4.0,2,1,4,98,2,1.0
3706001,14,14,2,47,4,1,2,,4.0,1,1,6,5,2,1.0
3707004,14,14,1,52,5,1,2,,2.0,2,1,4,98,2,1.0
3707012,14,14,1,52,5,1,2,,2.0,1,1,2,2,1,1.0
3708004,14,14,2,54,5,1,2,,4.0,1,1,2,2,2,0.98
3708006,14,14,2,52,5,1,3,,,3,1,6,2,2,0.98
3709020,14,14,1,75,6,1,2,,3.0,2,1,1,98,2,0.98
3709042,14,14,1,72,6,1,2,,3.0,2,3,5,2,2,0.98
3709048,14,14,1,63,6,1,2,,1.0,2,3,4,1,2,0.98
3709056,14,14,1,68,6,1,2,,2.0,2,3,1,98,1,0.98
3710002,14,14,2,60,6,1,3,,,3,1,5,98,2,0.99
3710008,14,14,2,62,6,1,2,,3.0,1,1,8,2,2,0.99
3801002,15,15,1,29,2,2,2,,2.0,1,1,7,98,2,1.0
3805019,15,15,1,45,4,1,2,,2.0,1,1,2,98,1,1.0
3806006,15,15,2,48,4,1,3,,,1,1,2,2,1,0.99
3806007,15,15,2,47,4,1,3,,,3,1,6,5,1,0.99
3807001,15,15,1,59,5,1,2,,4.0,1,1,5,98,2,1.0
3808009,15,15,2,56,5,1,3,,,3,1,6,98,2,1.0
3808032,15,15,2,51,5,1,2,,3.0,2,3,2,2,2,1.0
3809010,15,15,1,61,6,1,2,,3.0,1,1,2,98,2,1.0
3809014,15,15,1,76,6,1,2,,2.0,2,1,8,2,2,1.0
3809026,15,15,1,69,6,1,2,,1.0,1,1,2,2,1,1.0
3809051,15,15,1,76,6,1,2,,4.0,1,3,8,98,1,1.0
3810002,15,15,2,68,6,1,2,,4.0,1,1,6,98,2,1.01
3810005,15,15,2,60,6,1,2,,4.0,2,1,1,2,2,1.01
3810021,15,15,2,62,6,1,1,2.0,,2,3,5,2,1,1.01
3906001,16,16,2,49,4,1,2,,1.0,9,1,2,98,2,0.98
3906003,16,16,2,47,4,2,3,,,9,3,3,1,2,0.98
3908002,16,16,2,58,5,1,2,,4.0,2,1,6,2,2,1.02
1101035,1,1,1,20,2,1,1,4.0,,3,3,7,98,2,1.0
1102009,1,1,2,29,2,1,1,1.0,,2,1,5,98,2,1.0
1102015,1,1,2,25,2,1,1,1.0,,3,1,7,98,2,1.0
1102016,1,1,2,21,2,2,3,,,2,1,7,98,2,1.0
1102022,1,1,2,26,2,1,1,3.0,,2,3,2,1,2,1.0
1102029,1,1,2,22,2,2,1,3.0,,3,3,5,1,2,1.0
1103001,1,1,1,32,3,1,1,3.0,,3,1,5,1,2,1.0
1103007,1,1,1,35,3,1,1,2.0,,3,1,5,5,2,1.0
1103023,1,1,1,36,3,1,1,1.0,,3,1,3,1,2,1.0
1104017,1,1,2,36,3,2,1,1.0,,3,1,6,1,2,0.99
1104022,1,1,2,35,3,1,1,2.0,,3,1,5,5,2,0.99
1104023,1,1,2,38,3,1,3,,,3,1,6,1,2,0.99
